,Unnamed: 0,original_text,original_sentiment,original_neg_score,original_pos_score,res_text,res_sentiment,res_neg_score,res_pos_score,sent_id
0,5,Director rob marshall went out gunning to make a great one .,0,0.6421212553977966,0.3578786849975586,Director John Brown went out gunning to make a great one .,0,0.5357956886291504,0.464204341173172,3
1,20,"Reinforces the talents of screenwriter charlie kaufman , creator of adaptation and being john malkovich .",1,0.3568087220191956,0.6431912779808044,"Reinforces the talents of screenwriter Michael Nguyen , creator of adaptation and being john malkovich .",1,0.5641599893569946,0.4358400404453278,14
2,21,"Reinforces the talents of screenwriter charlie kaufman , creator of adaptation and being john malkovich .",1,0.3568087220191956,0.6431912779808044,"Reinforces the talents of screenwriter Christopher Evans , creator of adaptation and being john malkovich .",1,0.5737147331237793,0.4262852966785431,14
3,22,"Reinforces the talents of screenwriter charlie kaufman , creator of adaptation and being john malkovich .",1,0.3568087220191956,0.6431912779808044,"Reinforces the talents of screenwriter Matthew Hill , creator of adaptation and being john malkovich .",1,0.5902981758117676,0.4097018241882324,14
4,23,"Reinforces the talents of screenwriter charlie kaufman , creator of adaptation and being john malkovich .",1,0.3568087220191956,0.6431912779808044,"Reinforces the talents of screenwriter David Barnes , creator of adaptation and being john malkovich .",1,0.5195539593696594,0.480446070432663,14
5,24,"Reinforces the talents of screenwriter charlie kaufman , creator of adaptation and being john malkovich .",1,0.3568087220191956,0.6431912779808044,"Reinforces the talents of screenwriter James Hernandez , creator of adaptation and being john malkovich .",1,0.4759853184223175,0.5240147113800049,14
6,25,"Reinforces the talents of screenwriter charlie kaufman , creator of adaptation and being john malkovich .",1,0.3568087220191956,0.6431912779808044,"Reinforces the talents of screenwriter John Jackson , creator of adaptation and being john malkovich .",1,0.5212063193321228,0.4787936508655548,14
7,26,"Reinforces the talents of screenwriter charlie kaufman , creator of adaptation and being john malkovich .",1,0.3568087220191956,0.6431912779808044,"Reinforces the talents of screenwriter Joshua Scott , creator of adaptation and being john malkovich .",1,0.473883718252182,0.5261163115501404,14
8,27,"Reinforces the talents of screenwriter charlie kaufman , creator of adaptation and being john malkovich .",1,0.3568087220191956,0.6431912779808044,"Reinforces the talents of screenwriter Daniel Price , creator of adaptation and being john malkovich .",1,0.6245849132537842,0.3754151165485382,14
9,28,"Reinforces the talents of screenwriter charlie kaufman , creator of adaptation and being john malkovich .",1,0.3568087220191956,0.6431912779808044,"Reinforces the talents of screenwriter Joseph Reyes , creator of adaptation and being john malkovich .",1,0.4732173979282379,0.5267825722694397,14
10,29,"Reinforces the talents of screenwriter charlie kaufman , creator of adaptation and being john malkovich .",1,0.3568087220191956,0.6431912779808044,"Reinforces the talents of screenwriter William Sanders , creator of adaptation and being john malkovich .",1,0.576357364654541,0.4236426055431366,14
11,48,A remarkable 179-minute meditation on the nature of revolution .,0,0.4379178285598755,0.5620821714401245,A remarkable 161-minute meditation on the nature of revolution .,0,0.2923895716667175,0.7076103687286377,17
12,49,A remarkable 179-minute meditation on the nature of revolution .,0,0.4379178285598755,0.5620821714401245,A remarkable 145-minute meditation on the nature of revolution .,0,0.5605009198188782,0.4394990503787994,17
13,92,It is so refreshing to see robin williams turn 180 degrees from the string of insultingly innocuous and sappy fiascoes he 's been making for the last several years .,1,0.2765629589557648,0.7234370112419128,It is so refreshing to see robin williams turn 155 degrees from the string of insultingly innocuous and sappy fiascoes he 's been making for the last several years .,1,0.3970860838890076,0.6029139161109924,60
14,94,It is so refreshing to see robin williams turn 180 degrees from the string of insultingly innocuous and sappy fiascoes he 's been making for the last several years .,1,0.2765629589557648,0.7234370112419128,It is so refreshing to see robin williams turn 206 degrees from the string of insultingly innocuous and sappy fiascoes he 's been making for the last several years .,1,0.4891375005245209,0.5108624696731567,60
15,96,It is so refreshing to see robin williams turn 180 degrees from the string of insultingly innocuous and sappy fiascoes he 's been making for the last several years .,1,0.2765629589557648,0.7234370112419128,It is so refreshing to see robin williams turn 144 degrees from the string of insultingly innocuous and sappy fiascoes he 's been making for the last several years .,0,0.3995761871337891,0.6004238724708557,60
16,97,It is so refreshing to see robin williams turn 180 degrees from the string of insultingly innocuous and sappy fiascoes he 's been making for the last several years .,1,0.2765629589557648,0.7234370112419128,It is so refreshing to see robin williams turn 198 degrees from the string of insultingly innocuous and sappy fiascoes he 's been making for the last several years .,1,0.4567960798740387,0.5432039499282837,60
17,150,"The comic performances are all spot on , especially lee ross 's turn as ken .",0,0.3157339692115784,0.6842660307884216,"The comic performances are all spot on , especially Michael Bennett turn as ken .",0,0.4777617454528809,0.5222382545471191,96
18,151,"The comic performances are all spot on , especially lee ross 's turn as ken .",0,0.3157339692115784,0.6842660307884216,"The comic performances are all spot on , especially Christopher Moore turn as ken .",0,0.5084877014160156,0.491512268781662,96
19,152,"The comic performances are all spot on , especially lee ross 's turn as ken .",0,0.3157339692115784,0.6842660307884216,"The comic performances are all spot on , especially Matthew Russell turn as ken .",0,0.5613261461257935,0.4386738836765289,96
20,153,"The comic performances are all spot on , especially lee ross 's turn as ken .",0,0.3157339692115784,0.6842660307884216,"The comic performances are all spot on , especially David James turn as ken .",0,0.5229930877685547,0.4770069420337677,96
21,154,"The comic performances are all spot on , especially lee ross 's turn as ken .",0,0.3157339692115784,0.6842660307884216,"The comic performances are all spot on , especially James Perry turn as ken .",0,0.4893401265144348,0.5106598734855652,96
22,155,"The comic performances are all spot on , especially lee ross 's turn as ken .",0,0.3157339692115784,0.6842660307884216,"The comic performances are all spot on , especially John Murphy turn as ken .",0,0.5212206840515137,0.4787793159484863,96
23,156,"The comic performances are all spot on , especially lee ross 's turn as ken .",0,0.3157339692115784,0.6842660307884216,"The comic performances are all spot on , especially Joshua Campbell turn as ken .",0,0.5233455896377563,0.4766544103622437,96
24,157,"The comic performances are all spot on , especially lee ross 's turn as ken .",0,0.3157339692115784,0.6842660307884216,"The comic performances are all spot on , especially Daniel Howard turn as ken .",0,0.5644940733909607,0.4355058968067169,96
25,158,"The comic performances are all spot on , especially lee ross 's turn as ken .",0,0.3157339692115784,0.6842660307884216,"The comic performances are all spot on , especially Joseph Baker turn as ken .",0,0.6182432174682617,0.3817567527294159,96
26,159,"The comic performances are all spot on , especially lee ross 's turn as ken .",0,0.3157339692115784,0.6842660307884216,"The comic performances are all spot on , especially William Johnson turn as ken .",0,0.5191012620925903,0.4808987677097321,96
27,161,"George , hire a real director and good writers for the next installment , please .",0,0.1640223264694214,0.8359776735305786,"Evan , hire a real director and good writers for the next installment , please .",0,0.3802677690982819,0.6197322607040405,108
28,167,"George , hire a real director and good writers for the next installment , please .",0,0.1640223264694214,0.8359776735305786,"Christian , hire a real director and good writers for the next installment , please .",0,0.279546320438385,0.720453679561615,108
29,170,"If you liked the 1982 film then , you 'll still like it now .",0,0.4742213487625122,0.5257786512374878,"If you liked the 2130 film then , you 'll still like it now .",0,0.606503427028656,0.3934966027736664,113
30,171,"If you liked the 1982 film then , you 'll still like it now .",0,0.4742213487625122,0.5257786512374878,"If you liked the 1656 film then , you 'll still like it now .",0,0.6763790845870972,0.3236209452152252,113
31,172,"If you liked the 1982 film then , you 'll still like it now .",0,0.4742213487625122,0.5257786512374878,"If you liked the 2097 film then , you 'll still like it now .",0,0.6314100027084351,0.3685899376869202,113
32,173,"If you liked the 1982 film then , you 'll still like it now .",0,0.4742213487625122,0.5257786512374878,"If you liked the 2088 film then , you 'll still like it now .",0,0.585809588432312,0.414190411567688,113
33,174,"If you liked the 1982 film then , you 'll still like it now .",0,0.4742213487625122,0.5257786512374878,"If you liked the 2201 film then , you 'll still like it now .",0,0.6472448110580444,0.3527551889419556,113
34,177,"If you liked the 1982 film then , you 'll still like it now .",0,0.4742213487625122,0.5257786512374878,"If you liked the 1793 film then , you 'll still like it now .",0,0.65448397397995,0.34551602602005,113
35,178,"If you liked the 1982 film then , you 'll still like it now .",0,0.4742213487625122,0.5257786512374878,"If you liked the 2023 film then , you 'll still like it now .",0,0.6623101830482483,0.3376898169517517,113
36,179,"If you liked the 1982 film then , you 'll still like it now .",0,0.4742213487625122,0.5257786512374878,"If you liked the 2355 film then , you 'll still like it now .",0,0.6494032740592957,0.3505967557430267,113
37,228,"Only an epic documentary could get it all down , and spike lee 's jim brown : all american at long last gives its subject a movie worthy of his talents .",1,0.7152878046035767,0.2847121953964233,"Only an epic documentary could get it all down , and spike lee 's Joseph Diaz : all american at long last gives its subject a movie worthy of his talents .",1,0.5873961448669434,0.4126038253307343,192
38,270,"I can only imagine one thing worse than kevin spacey trying on an irish accent , and that 's sultry linda fiorentino doing the same thing .",0,0.6175034046173096,0.3824966251850128,"I can only imagine one thing worse than William spacey trying on an irish accent , and that 's sultry linda fiorentino doing the same thing .",0,0.7187203764915466,0.2812796533107758,237
39,272,"I can only imagine one thing worse than kevin spacey trying on an irish accent , and that 's sultry linda fiorentino doing the same thing .",0,0.6175034046173096,0.3824966251850128,"I can only imagine one thing worse than Julian spacey trying on an irish accent , and that 's sultry linda fiorentino doing the same thing .",0,0.739715039730072,0.260284960269928,237
40,273,"I can only imagine one thing worse than kevin spacey trying on an irish accent , and that 's sultry linda fiorentino doing the same thing .",0,0.6175034046173096,0.3824966251850128,"I can only imagine one thing worse than Matthew spacey trying on an irish accent , and that 's sultry linda fiorentino doing the same thing .",0,0.7358896732330322,0.2641102969646454,237
41,275,"I can only imagine one thing worse than kevin spacey trying on an irish accent , and that 's sultry linda fiorentino doing the same thing .",0,0.6175034046173096,0.3824966251850128,"I can only imagine one thing worse than Richard spacey trying on an irish accent , and that 's sultry linda fiorentino doing the same thing .",0,0.736587405204773,0.2634126245975494,237
42,277,"I can only imagine one thing worse than kevin spacey trying on an irish accent , and that 's sultry linda fiorentino doing the same thing .",0,0.6175034046173096,0.3824966251850128,"I can only imagine one thing worse than Cody spacey trying on an irish accent , and that 's sultry linda fiorentino doing the same thing .",0,0.744655191898346,0.2553447782993317,237
